Session,StartDate,EndDate,IPAddress,Progress,Duration(in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,id,NegRate1.1_1_how_bad_the_study_partner_feels,NegRate1.3_1_significance_of_the_event_for_the_study_partner,mood1_1_angry,mood1_2_happy,mood1_3_anxious,mood1_4_distressed,mood1_5_cheerful,mood1_6_calm,mood1_7_sad,mood1_8_relaxed,mood1_9_lonely,mood1_10_energetic,reframe,NegRate1.1_1_how_bad_your_study_partner_will_fill_after_reading_our_response,NegRate1.3_1_significance_of_the_event_for_the_study_partner_after_reading_your_response,regulaiton_effect-did_the_writing_changed_your_mood?,similarity_7,mood2_1_angry,mood2_2_happy ,mood2_3_anxious,mood2_4_distressed,mood2_5_cheerful,mood2_6_calm,mood2_7_sad,mood2_8_relaxed,mood2_9_lonely ,mood2_10_energetic,SSES_1_I_feel_confident_about_my_abilities,SSES_2_I_am_worried_about_whether_I_am_regarded_as_a_success_or_failure,SSES_3_I_feel_satisfied_with_the_way_my_body_looks_right_now,SSES_4_I_feel_frustrated_or_rattled_about_my_performance,SSES_5_I_feel_that_I_am_having_trouble_understanding_things_that_I_read,SSES_6_I_feel_that_others_respect_and_admire_me,SSES_7_I_am_dissatisfied_with_my_weight,SSES_8_I_feel_self-conscious.,SSES_9_I_feel_as_smart_as_others.,SSES_10_I feel displeased with myself.,SSES_11_I feel good about myself.,SSES_12_I am_pleased_with_my_appearance_right_now.,SSES_13_I_am_worried_about_what_other_people_think_of_me.,SSES_14_I_feel_confident_that_I_understand_things.,SSES_15_I_feel_inferior_to_others_at_this_moment.,SSES_16_I_feel_unattractive.,SSES_17_I feel_concerned_about_the_impression_I_am_making.,SSES_18_I_feel_that_I_have_less_scholastic_ability_right_now_than_others.,SSES_19_I_feel_like_I'm_not_doing_well.,SSES_20_I_am_worried_about_looking_foolish
1,13/08/2018 14:49,13/08/2018 15:00,108.46.154.72,100,654,1,13/08/2018 15:00,R_2xQ70OHH7Kl4Y8i,40.65390015,-73.60820007,anonymous,EN,A2TN6KP3ZKGOU7,4,4,1,4,2,2,5,5,1,4,1,4,"The situation isn't a long lasting situation. The matter will be fixed in a few days, once you get situated with calling the people required to get new cards and a license. This situation also will allow you to learn to keep track of your wallet better, as it is a situation that is inconvenient.",2,2,2,4,1,5,1,1,4,5,1,5,1,4,4,2,5,1,1,5,1,1,5,1,5,5,1,5,1,1,1,1,1,1
1,13/08/2018 15:08,13/08/2018 15:15,107.77.226.42,100,426,1,13/08/2018 15:15,R_tEZl0rtPon5d07D,40.64509583,-73.94499969,anonymous,EN,A1761MS0XW2OHR,5,5,1,1,1,1,1,3,1,3,1,1,"I'm sorry that you lost your wallet, that is a huge inconvenience, but it happens. On the plus side, it's far easier to freeze and replace your debit and credit cards than it's been in the past. It's still a hassle, but it'll help you rebuild faster. Maybe someone will find it and return it to you.",5,5,3,1,1,1,1,1,1,3,1,3,1,1,3,1,3,1,1,1,1,1,3,1,2,3,2,4,1,1,1,1,1,1
1,13/08/2018 15:13,13/08/2018 15:20,71.58.114.154,100,390,1,13/08/2018 15:20,R_0HVgRGQBOTMJQR3,40.0019989,-76.68360138,anonymous,EN,A27SMEOPKV84VI,4,4,1,3,5,2,2,2,1,2,1,2,"That would be incredibly frustrating to lose your wallet, and I can understand why you are upset.  Try not to be so hard on yourself.  We all are forgetful at times.  Its possible that a person even found your wallet and is currently trying to track you down.  ",3,4,4,1,1,2,4,3,1,1,2,1,1,2,2,3,1,4,1,2,5,5,3,4,2,1,5,3,4,4,5,2,4,5
2,8/14/2018 0:29,8/14/2018 0:34,172.58.142.241,100,311,1,8/14/2018 0:34,R_2CPR9LpqnHk4N9f,41.94740295,-87.7036972,anonymous,EN,AGRKG3YT3KMD8,5,4,1,4,1,1,3,3,1,3,2,4,"The wallet has been lost. It is important to accept loss when it occurs. That means, don't dwell on the loss, accept that it has happened and move on. Don't think too much about replacing everything. Just replace what is important, cancel card numbers, etc. Remember that this is also a chance to get new cards and a new wallet. So maybe it will help symbolize a new stage in your life. You also learned a lesson about being careful, and not forgetful. This is an important lesson. Maybe because of this event, you may remember something far more important. For instance, you may remember to put your parking brake in, preventing a loss far more catastrophic than a lost wallet.",2,3,2,3,1,4,1,1,4,4,1,3,1,3,4,1,4,1,1,4,1,1,4,1,4,4,1,4,1,1,1,1,1,1
2,8/14/2018 7:30,8/14/2018 7:34,24.117.23.60,100,231,1,8/14/2018 7:34,R_1qWc02vkwVFNdmW,30.39239502,-89.10549927,anonymous,EN,A2EJCOHPXQWRSW,5,5,1,4,1,1,1,4,1,3,5,3,My partner lost everything with his wallet most likely including credit cards and ID.,2,2,3,2,1,5,1,1,3,4,1,4,4,3,4,3,5,1,1,2,1,1,4,1,1,5,1,4,2,1,1,1,5,1
2,15/08/2018 15:04,15/08/2018 15:11,108.64.75.194,100,424,1,15/08/2018 15:11,R_12PW6snK1S2KBUt,38.11289978,-122.1331024,anonymous,EN,AJRY9ALX8069Y,5,4,1,2,1,2,1,2,1,3,3,2,"I've had a lot of headaches. I get them a lot during the month during times of stress. Drinking doesn't help things and makes things worse. If you need to drink to relax, though, that's okay. I think drinking is a good way to unwind after a long hard day. Perhaps since you haven't been sleeping, you can devote your energy to other things that are productive when you aren't sleeping. Not sleeping gives you time to do other things, either productive things or things that you might enjoy. Take the time to do those things and then maybe you'll fall asleep soon after. Just view the lack of sleep as a positive thing and extra time to get things done.",2,3,2,3,1,1,3,1,3,4,1,4,2,2,4,5,5,4,4,2,4,5,4,2,4,2,5,2,4,4,5,4,2,5
2,15/08/2018 15:06,15/08/2018 15:12,98.245.66.27,100,378,1,15/08/2018 15:12,R_2CfSvB1e5vxEeJz,39.7427063,-105.1186981,anonymous,EN,A2M6TJIR21BN2W,2,4,1,3,1,1,3,5,1,4,1,3,"Look, drinking to help you relax and sleep at night is never a good solution. Finding better and safer alternatives will surely work for you. I like to run at night a few hours before bed, this helps me relax much more. If you continue to do this, just be aware you could potentially develop a drinking problem and become reliant on alcohol to help you get to sleep. Maybe you cannot sleep because something is on your mind every night. Learn from the situation, if your sleeping habits are disrupted enough for you to resort to drinking before bed, then there is a much larger underlying problem going on. FIND IT! FIX IT!",1,4,2,1,1,3,1,1,3,4,2,4,1,3,4,2,3,1,1,2,1,2,3,1,2,2,1,3,1,1,1,1,1,1
2,15/08/2018 15:11,15/08/2018 15:15,71.58.114.154,100,251,1,15/08/2018 15:15,R_2VBKH0EwbaJqGwd,40.0019989,-76.68360138,anonymous,EN,A27SMEOPKV84VI,3,4,1,2,1,1,2,4,1,4,1,2,"I'm very sorry to hear that you haven't been sleeping well lately.  I get headaches a lot when I'm feeling dehydrated, which might be what you're going through if you aren't getting enough water along with the alcohol.  This isn't a permanent situation and it might help to make a list to consider what is keeping you awake in the first place.  This way you can focus on improving those areas of concern to help you finally get some natural rest.",1,3,2,4,1,3,1,1,2,4,2,3,1,3,4,3,1,1,1,1,5,5,3,2,2,1,5,3,2,4,4,2,1,4
2,15/08/2018 15:15,15/08/2018 15:20,107.77.226.32,100,308,1,15/08/2018 15:20,R_12ii8w5Z7KEOX0S,40.64509583,-73.94499969,anonymous,EN,A1761MS0XW2OHR,3,3,1,3,1,1,1,3,1,3,1,1,"It sounds like the headache is a sign that you might need to find a different way to relax. Whether it's because you're drinking, or because you aren't sleeping well, your body is trying to tell you something. Maybe try to think of what's keeping you from relaxing and getting a good night's sleep.",3,3,3,1,1,3,1,1,1,3,1,3,1,1,3,1,3,1,1,1,1,1,3,1,3,4,1,5,1,1,1,1,1,1
2,15/08/2018 15:16,15/08/2018 15:23,50.201.138.178,100,399,1,15/08/2018 15:23,R_2BtfboOPw7yAGWc,34.02470398,-84.50330353,anonymous,EN,A3D70ANCSMGX5F,4,4,2,4,1,2,4,5,1,4,2,4,"I understand the effects sleep deprivation can have, itג€™s like a domino effect in your life that makes even simple tasks very demanding. But thatג€™s the thing, dominoes have to stop from somewhere. Instead of drinking to relax, you can find something else worth your time that wonג€™t make your life miserable. I know it may seem hard, but you will greatly appreciate yourself for making such a responsible decision.",2,4,1,4,1,5,2,1,4,5,2,5,1,3,5,1,4,2,1,3,2,5,4,1,5,4,2,4,1,2,3,1,2,1
2,15/08/2018 15:23,15/08/2018 15:28,73.248.201.23,100,317,1,15/08/2018 15:28,R_XZAIz00QPOEFupz,40.86689758,-74.8219986,anonymous,EN,A1XA3QOXDTGCDL,3,3,1,2,2,1,2,4,1,4,1,1,"I know it may seem like a big deal that you still have your headache, but at least you got a decent rest last night. There are many options for you, such as taking aspirin. Also, sleep is very important for you to function. If you are having trouble sleeping, then you can look into the many natural sleep-aids that exist.",2,2,2,1,1,2,2,1,2,4,1,4,1,1,4,1,2,1,1,3,5,4,5,3,2,2,2,4,1,3,2,1,2,2
2,15/08/2018 15:19,15/08/2018 15:32,23.124.54.85,100,776,1,15/08/2018 15:32,R_2EtlxdV7nULJD6c,42.98750305,-82.46659851,anonymous,EN,Yes,4,4,2,3,4,2,3,3,2,4,2,3,"I understand this all too well. However, there are alternatives to drinking that can help you fall asleep, completely natural and safe too. Melatonin is what we naturally produce that makes us tired. They sell melatonin tablets, which again is what we naturally  produce to make us tired, and they are completely safe to take.  Far safer than medications like ambien. It could possibly help, and I hope you'll look into them. You can get them in a variety of doses, and I myself take 5mg on nights i struggle to fall asleep. Getting proper sleep, and avoiding the alcholol to help you relax, should help with your headaches. This is not permanent,  and there is an easy and safr solution I encourage you to look into if you have doubts about its safety. ",3,4,2,3,1,4,3,3,4,4,3,4,3,4,4,2,2,3,1,3,4,3,3,3,3,2,4,4,3,4,3,2,3,2
2,15/08/2018 15:29,15/08/2018 15:41,67.181.28.103,100,721,1,15/08/2018 15:41,R_1Io1bOYkFoDRAo9,38.69320679,-121.3115997,anonymous,EN,AQ9Y6WD8O72ZC,3,4,1,2,1,1,2,4,1,4,2,1,"Dear study partner,",3,4,2,1,1,2,1,1,2,4,1,4,1,1,5,1,2,1,1,2,3,4,3,1,3,2,2,5,2,3,2,1,1,1
2,15/08/2018 15:40,15/08/2018 15:43,71.197.157.206,100,201,1,15/08/2018 15:43,R_1dErsbzECxX97Sl,47.17709351,-122.1865005,anonymous,EN,A2VW2G52AKT86G,4,3,1,2,1,1,2,2,1,2,2,1,This may be the reason you need to improve your sleep habits.  This isn't working so it's probably time to find something that does.  It could be because you're stressed and need to do something about that or for some other reason.  What matters though is that you can improve your sleep patterns in a better way and then not have to worry about drinking causing you issues.,3,3,3,1,1,2,1,1,2,2,1,2,2,1,3,3,1,3,1,2,4,4,4,4,1,1,4,4,3,4,4,1,3,4
2,15/08/2018 15:18,15/08/2018 15:45,23.126.202.49,100,1648,1,15/08/2018 15:45,R_8AhUCFkddsYJrdT,29.94299316,-81.74330139,anonymous,EN,AA4D4WHT4HBYW,4,3,1,4,1,1,3,4,1,3,1,3,"Dear Friend,",2,2,3,3,1,4,1,1,3,3,1,3,1,2,4,2,2,1,1,3,3,3,4,2,3,2,2,4,1,2,3,1,1,1
2,15/08/2018 15:46,15/08/2018 15:53,98.176.238.152,100,461,1,15/08/2018 15:53,R_22FUsD3xOjaOW6a,32.64120483,-116.9859009,anonymous,EN,A39Q4SNT7SRK94,5,5,1,5,1,1,5,5,1,5,1,3,This isn't that bad and can be fixed by going to the doctor or trying different remedies. The situation isn't permanent and it will be over soon.,1,5,1,5,1,5,1,1,5,5,1,5,1,3,5,1,5,1,1,5,1,1,5,1,5,5,1,5,1,1,1,1,1,1
2,15/08/2018 16:22,15/08/2018 16:32,209.81.112.213,100,565,1,15/08/2018 16:32,R_b9qcuerfzHa0URH,46.11779785,-95.08920288,anonymous,EN,A3S5UROKNNCNSB,3,4,1,4,1,1,3,5,1,4,2,5,"Sleeping problems are part of being human, everyone goes through them at some point during their life. Always remember that things could be a lot worse. Some people don't get any sleep at all, and are forced to go about their day without any sleep. Your headache could also be unrelated to the drinking, it is also something that could be worse. Many people deal with chronic headaches on a daily basis. Hopefully you will find a way to deal with these inconveniences and get on with your life. ",2,3,2,4,1,5,1,1,4,5,1,5,1,4,5,1,3,2,1,4,4,2,5,1,4,3,2,4,1,3,2,5,1,2
2,15/08/2018 16:40,15/08/2018 16:48,23.123.130.236,100,464,1,15/08/2018 16:48,R_0qRKOrUUCreI1bj,29.58779907,-95.22409821,anonymous,EN,A1VPQJR2V850OM,3,3,1,2,1,1,2,4,1,4,1,2,Chances are the headache will go away in time. There is no way to know that the drinking is causing the problem so there's no need to worry about it.,3,3,3,1,1,1,1,1,1,3,1,3,1,2,4,1,4,2,1,3,1,1,3,1,3,3,1,1,1,1,1,1,1,1
2,15/08/2018 16:59,15/08/2018 17:05,173.89.146.57,100,346,1,15/08/2018 17:05,R_12umb6fQQbTKY69,44.05990601,-88.52780151,anonymous,EN,A1PLB1NZOE2PQ7,3,4,1,4,1,1,4,4,1,4,1,3,"Ugh, headaches are terrible. Do you need anything? What is going on that has you stressed and not sleeping well?",2,2,3,1,1,4,1,1,4,1,1,4,1,3,4,3,2,1,1,3,4,2,4,1,5,2,3,4,1,3,3,1,1,1
2,15/08/2018 17:18,15/08/2018 17:26,172.58.43.162,100,520,1,15/08/2018 17:26,R_2QrishqIR0Y5Xgf,47.49560547,-122.2514954,anonymous,EN,A2F2DDH12YU4AK,2,2,3,1,1,1,1,3,1,2,1,3,"It seems like you've identified the most likely cause of your problem, which is the first step to solving it. To avoid future headaches like this, reduce your alcohol consumption, and also increase the amount of water you drink when drinking alcohol, as dehydration is the chief cause of head pain following a drinking session. Other causes include disruption of glucose metabolism and reduced fasting blood sugar, so it can also be beneficial to consume something sweet when drinking to reduce inflammation and vasodilation that can increase the symptoms of head pain.",3,2,3,1,3,1,1,1,1,3,1,2,1,3,4,1,1,1,1,3,5,1,5,5,1,1,1,5,1,5,1,1,3,1
2,15/08/2018 17:36,15/08/2018 17:40,75.133.98.246,100,230,1,15/08/2018 17:40,R_wYLwtMZr3AvVaOR,41.46749878,-73.24060059,anonymous,EN,AKHH4W14A6AN9,5,5,1,2,2,1,1,3,1,3,3,1,"Oh, you must be under a lot of stress. Perhaps there is another coping mechanism you could try instead of drinking. Drinking can cause dehydration which might give you a headache. Maybe try something like reading or meditating. I find yoga to be super relaxing. It's good that you recognize your drinking may be a problem. It might help you to talk about whatever it is that's making it hard to go to sleep. Are you upset about something, or worried about something? It will be okay, don't worry. ",1,3,2,2,1,2,1,1,1,3,1,3,1,1,3,4,1,1,1,1,5,5,3,2,1,1,5,5,3,4,5,1,2,3
2,15/08/2018 17:48,15/08/2018 17:52,174.71.60.245,100,222,1,15/08/2018 17:52,R_2DSJmuw3nsE0y5f,41.29930115,-96.16660309,anonymous,EN,A3B7TNVOISSZ2O,3,1,1,3,1,1,3,5,1,4,1,2,"It's not necessarily due to having a drink.  Headaches are also commonly caused by diet, stress, or by not drinking enough water.  So there may be something else going on that causes the headaches.",1,1,3,4,1,3,1,1,3,5,1,4,1,2,5,1,4,1,1,5,1,1,5,1,5,4,1,5,1,1,1,1,1,1
2,15/08/2018 18:18,15/08/2018 18:26,108.233.81.229,100,446,1,15/08/2018 18:26,R_3R9oXMGSULMsvrX,37.68190002,-121.7680054,anonymous,EN,A2GOYSTIL3LOV1,2,3,1,2,1,1,2,3,1,3,1,1,"Yeah, headaches aren't any fun. I get headaches quite a bit, and I'm never really sure what's causing them. Rather than the drinking being the cause, maybe the headache is from not getting enough sleep. Once your sleeping improves, your headache might too. I hope it goes away soon! ",2,1,2,3,1,2,1,1,3,4,1,3,1,2,4,1,3,1,1,3,2,1,4,1,4,2,1,5,1,1,2,1,1,1
2,15/08/2018 18:34,15/08/2018 18:36,98.225.117.124,100,169,1,15/08/2018 18:36,R_RP6EoYHaQQmlM1H,32.29899597,-110.8309021,anonymous,EN,A3696JXTRKL2FI,3,3,1,3,2,2,3,4,3,4,2,2,"I know how it feels to have some rough sleep at night but often I've found that alcohol actually leads to less restful nights. If you haven't given it a shot I would say try some melatonin at night to help get you to sleep. Luckily our body does catch up on the sleep we need, and your headache will go away. ",2,3,3,2,1,4,2,2,3,5,2,4,2,2,5,2,4,2,2,4,1,2,4,2,4,5,3,5,2,1,3,2,1,2
2,15/08/2018 18:52,15/08/2018 18:55,107.12.142.48,100,156,1,15/08/2018 18:55,R_27pS7TxFpDuiatr,34.79840088,-77.35919952,anonymous,EN,A3L1DZWXQFWB90,3,4,1,4,2,1,3,4,1,4,1,3,Hey!! You're probably just a little dehydrated. Im sure if you up your water intake during the day your headache will go away. Perhaps instead of using alcohol to relax at night you can try melatonin or dream water which are sleep supplements. ,3,4,3,2,1,4,2,2,3,4,2,3,2,3,4,3,3,2,1,4,2,2,4,2,4,4,1,4,2,1,2,2,1,1
2,15/08/2018 19:54,15/08/2018 20:00,73.1.184.211,100,347,1,15/08/2018 20:00,R_2UW1mKefIOQ1Ltd,27.07749939,-80.25869751,anonymous,EN,A2OVWCQ4B9AHFY,3,3,1,2,1,2,1,2,1,2,2,1,"I have also been drinking more often than I usually do. Having a glass of wine or two before bed helps me stay asleep longer. I have been very stressed and I think this is why I have been drinking more often. Handling stresses should be easier and more natural but sometimes a ""quick fix"" is needed. I completely understand your situation.",2,3,2,4,1,2,1,2,1,2,2,2,2,1,4,1,1,1,1,1,3,3,4,2,1,1,1,3,1,5,1,1,4,1
2,15/08/2018 20:24,15/08/2018 20:27,131.93.146.238,100,206,1,15/08/2018 20:27,R_3Odiw0STi7ZN2xj,46.4822998,-90.15399933,anonymous,EN,A1ZD8RU6YB0VEU,3,3,1,4,1,1,3,4,1,4,1,3,Hey! Keep you head up things can only go up from here. Remember there is someone always out there that cares about you,2,2,3,1,1,4,1,1,3,4,1,4,1,2,4,1,5,1,1,5,1,1,5,1,5,5,1,5,1,1,1,1,1,1
2,15/08/2018 20:22,15/08/2018 20:29,96.224.81.8,100,391,1,15/08/2018 20:29,R_1pLnv2R7BXmaaAN,40.66319275,-73.5530014,anonymous,EN,A2TN6KP3ZKGOU7,3,2,1,5,1,1,4,4,1,3,1,3,"The situation can be improved easily, if you reduce the drinking it will most likely go away. You have to find another way to relax, as excessive drinking wonג€™t do you good.",2,2,3,1,1,4,1,1,4,3,1,3,1,3,5,1,5,1,1,5,1,1,5,1,5,4,1,5,1,1,1,1,1,1
2,15/08/2018 20:47,15/08/2018 20:53,75.82.160.118,100,333,1,15/08/2018 20:53,R_3soF2IBoOVmGLQ7,34.19050598,-119.2299957,anonymous,EN,A2VT0REE77ZI2I,3,3,1,3,1,1,3,4,1,3,1,2,I can see how that could be a result of drinking. It's not so bad though because you can use this experience as a tool. In the future you'll remember it and maybe not drink.,3,3,1,2,1,4,1,1,3,5,1,5,1,1,3,3,3,2,2,1,3,2,5,1,4,3,3,3,3,2,3,1,1,1
2,15/08/2018 21:00,15/08/2018 21:05,8.41.68.148,100,282,1,15/08/2018 21:05,R_pMINkoPsBW4RQgp,43.12989807,-77.60820007,anonymous,EN,A1F34ZP6YNI98F,3,3,1,3,2,1,1,4,2,3,2,1,"We all have our vices ro help us at the end of a hard day. Though they may temporairly relieve these stresses, sometimes the next days they may bring new peoblems (your headache) Luckily, you're not alone! Maybe next time add a couple more glasses a water, it'll help with the headache. Maybe switch out the drink with some CBD. ",1,3,3,2,1,3,2,1,1,4,1,3,1,1,3,4,1,3,2,2,4,5,2,4,1,1,3,2,1,5,3,3,4,5
2,15/08/2018 21:30,15/08/2018 21:36,172.91.80.221,100,344,1,15/08/2018 21:36,R_1jZo2cOfLrpGIua,34.04859924,-118.4423981,anonymous,EN,AVBRJBJONL47I,3,4,1,4,1,1,3,4,1,5,1,2,"It does seem like you're worried. I wonder if there's something else you could do instead of drinking to relax. Maybe you could try other methods of relaxation? There are many that people use, including meditation, hot tea, and even melatonin. If you're worried, maybe you could focus on changing the behavior to something that feels better to you.",2,2,2,2,1,3,1,1,3,5,1,5,1,1,3,1,1,1,1,2,5,4,3,3,2,1,3,3,2,5,1,1,1,1
